"Id","Category","Slug","Name","Original name","Production year","Episodes","Seasons","Duration","Description","Genres","Genres2","Genres3","Country","Age"
"066f62a2-d6ae-434e-b488-c182575109e3","1","maior-9ee044e8-ad2a-4d43-bb23-90f59649a948","Майор",,"2013",,,,,"Драма","Криминал",,,"18"
"0682ff5f-cadf-410c-a570-7a3204e397db","1","zoloto-partii","Золото партии","Party's Gold","1993",,,,,"Драма",,,,"6"
"0685955a-a506-42bc-8961-39d052e54eda","1","superstuard-uhd","Суперстюард UHD","Larry Gaye: Renegade Male Flight Attendant UHD","2017",,,,,,"Комедия",,"2","18"
"068fd65b-93a7-4883-b1e3-b6bce49eeb9b","1","lovushka-15cdcfed-d7a8-4b3d-bd85-0c1c1475f9ac","Ловушка","A Kind of Murder","2017",,,,,"Драма","Триллер",,"2","18"
"0697358f-f3c4-4ae5-b1a0-7479189fd30b","1","hodyachii-zamok","Ходячий замок","Ходячий замок","2004",,,,,"Мелодрама","Фантастика","Мультфильм",,"6"
"06981ea8-94b1-4409-b49e-242c0daf7f79","1","monah-i-bes-c4eaa98a-afec-43cf-adef-32d18f7d9d1f","Монах и бес",,"2016",,,,,"Комедия",,,,"12"
"0699f181-2599-4e58-9860-12be2767546b","1","kolosok","Колосок","Spica","1982",,,,,,"Детям","Мультфильм","1","0"
"06a4f2b9-5813-437a-90ef-52102a9c829f","1","pro-lubov-tolko-dlya-vzroslyh-uhd","Про любовь. Только для взрослых UHD","About love. Only for adults UHD","2017",,,,,"Комедия",,,,"18"
"06a92188-396f-48a2-b608-991bbbe146cf","1","boifrend-na-rozhdestvo","Бойфренд на Рождество","Бойфренд на Рождество","2004",,,,,"Комедия","Мелодрама","Драма",,"12"
"06be18e4-eda0-4b62-9c04-8d9f45a56a6b","1","granit-nauki","Гранит науки","Rocket Science","2007",,,,,,"Драма","Комедия","2","18"
"06c78410-7968-41ec-b70b-d89f2d53d8e2","1","inorodnoe-telo","Инородное тело","Obce ciało","2014",,,,,"Драма",,,"2","16"
